idValoracion,emailUsuario,idPelicula,puntuacion
331,rgonzales@example.org,5,10
332,susanfitzgerald@example.net,3,10
333,pgutierrez@example.com,1,1
334,manuel01@example.net,3,5
335,melissa28@example.com,2,3
336,nicholsalexandra@example.com,4,6
337,sherri19@example.com,4,2
338,kimberlypoole@example.net,2,3
339,lopezdenise@example.com,1,5
340,pamela32@example.com,3,7
341,matthew51@example.com,2,4
342,frose@example.org,2,9
343,nguyenrebecca@example.org,1,4
344,melinda65@example.net,2,8
345,sanchezgregory@example.com,2,3
346,connieduncan@example.org,1,5
347,gregory41@example.com,4,5
348,ellissarah@example.net,1,5
349,kenneth55@example.org,5,4
350,elizabethramirez@example.org,2,6
351,iramirez@example.com,5,8
352,keithlindsey@example.com,3,9
353,xblankenship@example.net,1,4
354,jacobbrown@example.com,2,7
355,wbowen@example.com,1,5
356,alicia41@example.net,1,8
357,rebecca97@example.net,1,2
358,tharrison@example.org,4,7
359,sean88@example.net,5,7
360,ryan93@example.org,5,9
361,julie36@example.com,5,9
362,sandrahale@example.org,5,8
363,brian11@example.org,5,7
364,joshua37@example.com,2,10
365,stephen83@example.com,4,8
366,bruiz@example.net,1,8
367,uho@example.org,1,7
368,lawrencejulie@example.org,5,1
369,phelpswilliam@example.org,3,3
370,wallermarie@example.org,1,9
371,samanthawilliamson@example.net,5,2
372,ramirezdanielle@example.org,3,4
373,patricia71@example.net,1,4
374,joseph16@example.com,5,7
375,powersedwin@example.net,5,8
376,lmurray@example.net,2,9
377,larsonsheila@example.net,5,9
378,trevoryork@example.org,2,2
379,newmantimothy@example.net,4,7
380,karen15@example.com,4,2
381,crystal55@example.com,4,1
382,nosborne@example.org,3,6
383,brandonhall@example.com,5,3
384,gsims@example.com,2,3
385,smithstephen@example.com,2,9
386,destinycollins@example.net,3,7
387,brianwyatt@example.com,4,7
388,jill46@example.net,5,3
389,april25@example.org,5,7
390,hcampbell@example.com,3,8
391,suzannerangel@example.net,4,10
392,dcalhoun@example.net,3,6
393,fmartinez@example.org,1,4
394,moorekari@example.net,2,7
395,jenniferrivera@example.org,3,8
396,amyday@example.net,4,7
397,adam38@example.org,5,2
398,keithfowler@example.net,3,8
399,gregory75@example.org,2,6
400,carlosdonovan@example.net,3,4
401,williamclark@example.net,4,4
402,holly32@example.net,2,8
403,qalvarez@example.net,2,3
404,wgraham@example.com,1,1
405,jnguyen@example.net,2,1
406,wagnerjames@example.org,5,4
407,ldavila@example.org,4,5
408,ronniecarter@example.org,4,8
409,jenniferpitts@example.net,3,1
410,robert54@example.com,4,9
411,valerie49@example.org,1,3
412,steven34@example.org,5,2
413,vlawson@example.net,1,10
414,sbrown@example.org,1,1
415,fthompson@example.com,4,2
416,cindy96@example.org,3,4
417,wendymoran@example.com,3,7
418,oliverdarlene@example.com,1,9
419,lauraoliver@example.com,1,6
420,yjones@example.com,4,8
421,gregorychaney@example.org,3,2
422,egonzalez@example.net,2,9
423,nolantony@example.com,5,8
424,kgiles@example.org,3,5
425,dominguezrebecca@example.com,1,6
426,thomasanthony@example.com,3,10
427,jenniferrogers@example.net,1,2
428,maddoxcatherine@example.org,1,10
429,bethanymurray@example.org,5,10
430,michael92@example.net,4,7
431,djackson@example.org,4,9
432,lglenn@example.net,3,9
433,jason76@example.com,3,8
434,janice20@example.net,2,6
435,bennettjerry@example.net,3,2
436,johnsonmisty@example.net,1,4
437,bking@example.com,4,7
438,jerrypeterson@example.org,2,9
439,howellamanda@example.net,1,9
440,yjones@example.org,1,9
441,sarmstrong@example.com,5,9
442,iaguirre@example.net,2,7
443,jaclynclark@example.net,4,6
444,justin88@example.net,2,9
445,andrewharris@example.net,3,4
446,porterchristina@example.org,2,2
447,morgananna@example.org,4,5
448,barneskari@example.com,1,3
449,millerjason@example.net,1,3
450,vanessabrown@example.com,4,5
451,simpsonchelsea@example.com,5,10
452,smithsean@example.com,5,6
453,ifoster@example.net,2,10
454,jessicalogan@example.org,4,5
455,fharris@example.net,1,9
456,olivia21@example.com,2,9
457,wendyhale@example.net,1,8
458,slamb@example.org,3,9
459,davidanderson@example.net,2,8
460,sethpeters@example.org,1,5
461,rhodesrobert@example.com,1,3
462,hallpeter@example.org,4,4
463,shannonstuart@example.com,3,8
464,roy13@example.com,2,10
465,joshua17@example.org,1,6
466,zrodriguez@example.org,5,9
467,franklinteresa@example.org,3,4
468,pgreen@example.org,2,8
469,jcurtis@example.org,3,8
470,audreyramirez@example.com,2,8
471,tjohnson@example.com,3,8
472,halljeffrey@example.org,4,1
473,laura80@example.com,2,5
474,gnelson@example.com,1,5
475,juarezmichael@example.net,4,3
476,njacobson@example.org,4,3
477,ahernandez@example.org,3,3
478,hbonilla@example.net,5,7
479,sarah55@example.com,5,4
480,skelly@example.net,4,3
481,tiffanydavis@example.org,3,5
482,madison99@example.net,1,3
483,blanchardvictoria@example.com,3,10
484,alexandra50@example.net,4,5
485,dtyler@example.net,3,9
486,robert14@example.net,4,5
487,rachel02@example.org,5,8
488,jonathanjohnson@example.org,1,4
489,swilson@example.net,1,3
490,acostakelli@example.com,2,8
491,antonio40@example.org,5,4
492,ethan98@example.net,2,2
493,jose04@example.com,3,4
494,richardsonerica@example.org,1,6
495,pyoung@example.net,1,3
496,lindsey60@example.net,5,3
497,kking@example.com,1,10
498,monroeryan@example.net,4,3
499,amandadixon@example.org,5,3
500,mckenziealexander@example.com,5,4
501,pamela48@example.org,1,10
502,christopher39@example.com,1,9
503,swarren@example.com,2,10
504,roger54@example.net,4,1
505,bradley35@example.org,3,9
506,alexandrafox@example.net,2,1
507,nortonmegan@example.com,3,5
508,ann95@example.net,1,9
509,whitneyrodriguez@example.com,2,7
510,sara64@example.com,4,2
511,andersonmelanie@example.net,1,5
512,carl86@example.net,3,3
513,sarawilliams@example.org,1,8
514,vwhite@example.org,3,9
515,tcantrell@example.org,1,1
516,abutler@example.com,2,2
517,villegasjames@example.com,5,9
518,youngdiana@example.net,4,6
519,moorecheyenne@example.com,5,1
520,gmora@example.net,4,3
521,westjames@example.org,4,2
522,qwright@example.net,4,9
523,welchderek@example.org,2,5
524,jamesmorris@example.org,1,10
525,kendra04@example.org,4,7
526,carol01@example.org,1,1
527,jonathan60@example.org,2,10
528,stacy32@example.com,5,5
529,nicole54@example.net,4,9
530,icampbell@example.net,1,4
531,wcoleman@example.com,2,3
532,stewartthomas@example.com,5,6
533,xjohnson@example.org,5,1
534,qfischer@example.com,4,1
535,rochoa@example.org,5,2
536,patrickjustin@example.net,1,5
537,reidalexandria@example.net,2,9
538,emilyjohnson@example.net,5,5
539,josephmiles@example.com,1,1
540,jacobdavis@example.org,4,10
541,danielledeleon@example.net,3,8
542,gregorycarter@example.org,5,4
543,shellymarsh@example.net,3,6
544,barneserin@example.com,1,7
545,jmedina@example.net,4,1
546,wallacenicholas@example.com,3,9
547,christopher76@example.org,4,8
548,rebeccaking@example.net,3,6
549,sabrinamorton@example.org,4,4
550,alfred59@example.org,2,4
551,garciakristie@example.net,1,7
552,laura64@example.net,2,10
553,vortega@example.net,1,7
554,barronmichelle@example.net,2,1
555,pricejoseph@example.com,4,10
556,millernicole@example.org,1,4
557,ngarcia@example.org,3,4
558,isaacdonovan@example.com,1,4
559,lawsonkaren@example.org,1,2
560,wallen@example.org,3,2
561,ndelacruz@example.org,3,5
562,salinasmichael@example.org,3,3
563,baileypaul@example.com,5,8
564,shernandez@example.com,3,10
565,aquinn@example.com,1,4
566,rgarrett@example.com,5,10
567,kevinfrey@example.org,2,4
568,probinson@example.com,1,3
569,brownstephanie@example.org,2,4
570,websterrobert@example.org,3,3
571,jessicaanderson@example.com,2,8
572,littlekim@example.org,3,8
573,ddavidson@example.com,2,5
574,tvelasquez@example.com,3,8
575,megan37@example.com,3,7
576,shermanpatrick@example.com,4,2
577,deandavid@example.org,5,10
578,wallacerachel@example.net,1,6
579,robyn25@example.org,3,4
580,lcastaneda@example.com,1,9
581,derekmartinez@example.net,5,7
582,jessica22@example.org,4,4
583,carpenterkaren@example.net,4,9
584,michelle84@example.net,4,10
585,harrisoncynthia@example.org,5,2
586,melissa25@example.net,2,2
587,zacharymoss@example.net,5,6
588,kingamanda@example.org,3,1
589,lisa07@example.org,3,8
590,chapmanrobert@example.net,3,7
591,taylorjoshua@example.com,2,2
592,albertsims@example.com,1,1
593,joshuaholmes@example.com,2,6
594,dgilmore@example.org,3,4
595,onoble@example.net,5,1
596,steven49@example.net,1,7
597,stevenbranch@example.net,5,4
598,jason44@example.org,3,9
599,evangibbs@example.net,1,2
600,stephanie43@example.net,5,2
601,carlyjefferson@example.org,5,1
602,kparks@example.com,5,8
603,tracytucker@example.net,4,5
604,wgonzalez@example.org,4,10
605,kweaver@example.org,1,3
606,andrewlambert@example.net,5,8
607,victorhayes@example.org,2,9
608,zmccarthy@example.com,4,6
609,wallacerose@example.net,5,9
610,awhite@example.net,3,7
611,pnguyen@example.com,4,5
612,paula10@example.net,3,10
613,yperry@example.com,2,1
614,matthewthompson@example.com,2,2
615,tthompson@example.net,3,4
616,griffingloria@example.net,5,4
617,andersonjoseph@example.org,3,6
618,anthony16@example.net,4,8
619,afitzgerald@example.org,2,2
620,lisa25@example.net,3,8
621,brianhaley@example.org,2,3
622,mathislynn@example.com,3,4
623,mary23@example.com,4,2
624,williampratt@example.net,1,7
625,cluna@example.org,3,4
626,amandawilliams@example.net,4,10
627,simpsongeorge@example.org,3,9
628,jonathanrich@example.net,3,2
629,kramerdebra@example.org,2,9
630,crossdiana@example.net,4,2
631,jmoore@example.com,2,6
632,rshepard@example.net,3,5
633,aaronestrada@example.net,3,9
634,angelarobinson@example.org,2,4
635,christopherhall@example.org,3,9
636,nlester@example.com,3,7
637,davisfrank@example.com,1,10
638,sduncan@example.org,2,10
639,rpugh@example.org,5,1
640,mirandagarza@example.com,1,8
641,tgomez@example.net,2,10
642,john70@example.com,5,6
643,diana52@example.com,1,3
644,webbjohn@example.net,2,8
645,justinmoore@example.com,5,7
646,drussell@example.com,1,4
647,rhubbard@example.org,1,4
648,ssharp@example.net,5,10
649,kimberly07@example.net,3,2
650,cardenasjoanna@example.net,3,4
651,terrigomez@example.com,2,6
652,kpena@example.org,3,5
653,dana53@example.org,1,5
654,jennifer52@example.net,5,9
655,jeremy19@example.com,1,6
656,monroejohn@example.org,2,8
657,adamblair@example.org,5,6
658,anthonydaisy@example.org,2,7
659,christopher89@example.net,2,6
660,catherine44@example.org,2,9
661,tdelacruz@example.com,5,2
662,zreynolds@example.net,5,2
663,matthew79@example.com,3,6
664,jenniferroman@example.com,2,1
665,imoreno@example.net,2,4
666,bedwards@example.net,5,7
667,solomonlisa@example.org,3,4
668,joshua07@example.org,3,5
669,vgray@example.com,1,6
670,parkskrista@example.com,5,1
671,robertsanders@example.org,5,9
672,randysilva@example.net,5,10
673,roberthouse@example.com,4,4
674,xwhitehead@example.com,5,8
675,johnjackson@example.com,1,1
676,michael90@example.net,1,2
677,jenniferblackburn@example.org,1,4
678,youngedward@example.net,1,8
679,daniel43@example.com,1,1
680,allenjenna@example.com,4,8
681,patricianorris@example.com,3,6
682,emily95@example.com,1,5
683,ruth49@example.net,1,3
684,harriseric@example.com,4,4
685,tammy80@example.net,1,10
686,jason28@example.org,1,8
687,kristi02@example.net,1,10
688,joelreed@example.net,4,6
689,jennifer81@example.org,4,6
690,sarah76@example.com,1,10
691,tmitchell@example.org,4,10
692,renee79@example.net,3,1
693,sheila25@example.com,3,2
694,robert94@example.com,1,2
695,rodgersgary@example.com,4,8
696,horntravis@example.org,2,10
697,dana36@example.com,3,1
698,pamelagilmore@example.org,2,7
699,angel27@example.net,2,10
700,acevedovictoria@example.com,2,10
701,carloscochran@example.net,3,9
702,valerie76@example.com,3,9
703,andretaylor@example.net,5,10
704,charles54@example.net,1,2
705,ruiznicolas@example.net,2,8
706,christopher52@example.org,3,6
707,jessica61@example.net,1,1
708,stuartjulie@example.net,5,10
709,stephen16@example.net,4,3
710,theresa91@example.net,2,1
711,velasquezkara@example.com,1,5
712,shammond@example.org,5,10
713,mmeyers@example.net,1,8
714,sullivangloria@example.com,5,10
715,stevenroach@example.net,4,6
716,emartin@example.net,1,5
717,bonillachelsea@example.net,2,1
718,robinsontina@example.org,1,2
719,raymond98@example.org,2,1
720,matthewsmary@example.org,2,1
721,kristin73@example.net,2,7
722,cindymcneil@example.org,2,5
723,tiffanyrosario@example.net,2,7
724,jessica98@example.net,2,1
725,gfranco@example.net,1,10
726,lcarter@example.com,4,3
727,nancyhartman@example.org,2,10
728,heidi72@example.org,5,10
729,nicole06@example.net,5,2
730,emilyrussell@example.org,2,8
731,cesarmiddleton@example.net,4,7
732,pricejessica@example.net,1,2
733,desireepatterson@example.net,2,1
734,kaiserandrew@example.net,3,1
735,tranchelsey@example.net,3,8
736,hendersonjoanna@example.net,2,6
737,alexander32@example.net,5,2
738,lindsay30@example.net,4,4
739,mcmillangregory@example.net,2,4
740,mariacook@example.com,5,5
741,gilbertjustin@example.com,4,4
742,danielle88@example.com,2,5
743,jenkinsstephanie@example.org,2,6
744,katherine08@example.net,2,2
745,ericksonanna@example.org,3,7
746,stevenrowe@example.org,2,7
747,michael32@example.com,2,4
748,mezaryan@example.com,1,8
749,btucker@example.net,2,2
750,gbennett@example.org,4,9
751,cody81@example.net,3,8
752,steven04@example.net,2,8
753,jeremy08@example.net,1,5
754,michaelhoward@example.org,4,5
755,gerald26@example.net,1,5
756,dawnfields@example.org,5,4
757,alicia61@example.org,5,9
758,loriclark@example.com,5,3
759,kwhite@example.org,1,10
760,hahnrobert@example.net,4,8
761,andrew62@example.net,5,8
762,brandon34@example.org,4,4
763,april78@example.com,3,5
764,melissa63@example.com,1,5
765,jeffreycooper@example.org,3,2
766,mollyhester@example.net,2,3
767,mitchellomar@example.org,5,9
768,jennifergibson@example.net,3,1
769,nicholas70@example.com,4,3
770,bullockbrian@example.org,2,2
771,sarah80@example.com,2,8
772,brownbrianna@example.net,4,9
773,debralewis@example.com,4,9
774,meganarroyo@example.org,1,9
775,martinezmichael@example.com,5,7
776,millsgeorge@example.com,3,10
777,larsonbrooke@example.org,5,9
778,mariahglenn@example.com,2,2
779,gfox@example.net,2,7
780,silvadale@example.com,2,2
781,markkrueger@example.com,1,10
782,jeremy58@example.org,5,5
783,smithalexander@example.com,2,7
784,conradjoshua@example.com,5,3
785,baileyrebecca@example.org,1,4
786,christopher76@example.net,1,4
787,juliehanna@example.org,1,2
788,leroy46@example.org,1,9
789,whiteryan@example.net,3,7
790,evazquez@example.net,4,8
791,thomasrobert@example.com,1,1
792,ecortez@example.org,2,5
793,annetteroman@example.net,2,10
794,stephen46@example.net,2,8
795,julia33@example.net,1,5
796,fieldslucas@example.net,4,10
797,palexander@example.net,2,7
798,feliciawhite@example.org,2,1
799,samantha09@example.org,3,1
800,uclark@example.org,1,9
801,newmankaren@example.org,1,1
802,xchang@example.org,2,3
803,breweramanda@example.com,1,2
804,hurstcraig@example.net,2,10
805,morrisongabriel@example.org,3,8
806,browe@example.net,3,5
807,grace73@example.org,2,5
808,njohnson@example.org,5,7
809,peterphillips@example.com,5,6
810,william81@example.net,1,3
811,reedsteven@example.com,5,9
812,kelly29@example.org,4,6
813,robertlittle@example.com,5,1
814,cynthiajohnson@example.com,4,8
815,allisonroger@example.com,4,10
816,lisa25@example.org,3,4
817,nwright@example.org,3,2
818,mario50@example.net,4,5
819,nsalas@example.org,5,6
820,palmernancy@example.net,4,2
821,cthomas@example.net,3,6
822,kelly61@example.com,4,6
823,yhernandez@example.org,5,2
824,suzannehaynes@example.org,2,1
825,jennifermiller@example.net,3,6
826,dawnsoto@example.com,5,2
827,xbuckley@example.net,1,5
828,pbriggs@example.net,2,6
829,garywilkinson@example.org,3,3
830,lgay@example.org,2,10
831,halebrian@example.net,3,2
832,enichols@example.net,2,7
833,durancharles@example.net,2,7
834,kjackson@example.net,3,8
835,kpreston@example.net,4,8
836,rmeyer@example.com,1,10
837,millerantonio@example.org,3,7
838,justinrivera@example.com,2,9
839,wintersandrew@example.org,4,9
840,courtney85@example.net,5,4
841,mramos@example.net,3,10
842,carrollcynthia@example.com,4,1
843,erik77@example.com,1,2
844,ahendrix@example.org,5,4
845,imorrison@example.net,1,6
846,laura63@example.net,3,5
847,howealexis@example.net,5,6
848,cerickson@example.net,4,2
849,travishenry@example.com,1,1
850,bartonsherry@example.net,2,2
851,bramirez@example.net,5,6
852,spearson@example.org,2,5
853,nicolecantu@example.com,4,7
854,vwelch@example.org,5,5
855,lmendoza@example.org,1,10
856,bryangarza@example.com,2,4
857,cwood@example.net,3,5
858,callahanmelissa@example.org,2,2
859,marcuscooke@example.com,2,5
860,gary92@example.org,5,4
861,jennifer41@example.com,4,8
862,ruben13@example.org,3,9
863,samuelbarajas@example.org,4,10
864,stephen74@example.net,4,9
865,aharris@example.org,4,3
866,james06@example.net,1,10
867,dharris@example.net,1,7
868,brandon88@example.org,5,5
869,lcastro@example.net,4,7
870,christopher16@example.net,2,9
871,hernandezjaime@example.org,5,2
872,stephenrodriguez@example.net,1,7
873,petercole@example.net,4,10
874,ppatrick@example.net,4,10
875,gutierrezseth@example.com,3,5
876,thomasflores@example.net,2,8
877,joel97@example.com,4,3
878,katherineross@example.net,3,4
879,pparrish@example.org,2,7
880,garzaronald@example.org,2,3
881,psullivan@example.com,4,4
882,rsullivan@example.net,4,5
